留言编号,留言用户,留言主题,留言时间,留言详情,反对数,点赞数
188006,A000102948,A3区一米阳光婚纱艺术摄影是否合法纳税了？,2019/2/28 11:25:05,"
					
					座落在A市A3区联丰路米兰春天G2栋320，一家名叫一米阳光婚纱艺术摄影的影楼，据说年单这一个工作室营业额就上百万，因为地处居民楼内部，而且有蛮长的时间了，请税务局和工商局查一下，看看这个一米阳光有没有正常纳税！如果没有，应该会怎么操作！
					
					
				",0,0
188007,A00074795,咨询A6区道路命名规划初步成果公示和城乡门牌问题,2019/2/14 20:00:00,"
					
					A市A6区道路命名规划已经初步成果公示文件，什么时候能转化成为正式的成果，希望能加快完成的路名规范，给道路安装好路名牌，对变更的路名牌及时更换。同时A6区农村的门牌号10年都未曾更换过，什么时候会统一更换，现在某些时候，我们找一个地方，都只能说是某某路口之类的，没有充分发挥路名和地名的作用。A6区行政区划已经调整完毕，那么门牌的更新也应该同步开展。
					
					
				",0,1
188031,A00040066,反映A7县春华镇金鼎村水泥路、自来水到户的问题,2019/7/19 18:19:54,"
					
					本人系春华镇金鼎村七里组村民，不知是否有相关水泥路到户政策和自来水到户政策，如政府主导投资村民部分集资之类的。另外提出个人意见:一.形象工程应该建立在解决民生问题之上！如:1.部分村组已经油沙路到户，大部分水泥路都没到户。2.很多村组都通路灯了，且天还没黑就开灯了，浪费资源，且乡间晚上极少有人出行。3.部分地区农田整改二.很多山区家庭冬季用水相当紧张，是真正需要要自来水的地方。虽然说不能什么都要依靠政府，但如果将部分形象工程的资金用于水泥路到户和自来水到户的话大家就会觉得政府真正为农民干实事了。
					
					
				",0,1
188039,A00081379,A2区黄兴路步行街大古道巷住户卫生间粪便外排,2019/8/19 11:48:23,"
					
					靠近黄兴路步行街，城南路街道、大古道巷、一步两搭桥小区（停车场东面围墙外），第一单元一住户卫生间粪便，长年直接排向人行马路。一栋小区楼，一百多户居民，出行的必经之道。长期臭气熏天，非常恶心。这个粪便外排，在半年前，住户就进行了投诉，来处理了一次，却仅仅是表面进行清扫。没有解决根本问题。主要原因是居民卫生间外排后，约两米长外面管道堵塞。只要开挖这两米路边，重新布管，就完全解决。可至今未能解决。再次强烈呼吁相关部门，尽快解决此事。还百姓优良生存环境。A市在抓紧城市美化，特别是将A市创建为全国文明城市，更应该从细节抓起，共同建设美好家园。
					
					
				",0,1
188059,A00028571,A市A3区中海国际社区三期与四期中间空地夜间施工噪音扰民,2019/11/22 16:54:42,"
					
					A市A3区中海国际社区三期四期中间，即蓝天璞和洲幼儿园旁边那块空地一直处于三不管状态，物业不管城管不管市政不管，从去年开始周围建筑工地一有多余的、废的土渣都往这块空地上堆，同时等要用土的时候再过来挖，而且这个状态一直在延续，目前从上个月开始每天晚上四台挖土机从此处挖土，同时十几台小卡车每天从晚上十点工作到凌晨五点。噪音高达70分贝以上。多位自称城管干部的工作人员打电话给投诉业主，如电话*****************，这些城管人员接到投诉，一不去现场，二不亲自了解噪音情况，而是直接打电话给投诉业主，态度强硬恶劣充满无奈，同时表明分贝这样的词对他们城管来说太专业了。同时城管工作人员对夜间施工什么证，有效期吞吞吐吐，回答含糊不清，一会说不是夜间施工证，一会又说只有渣土车运行证。还说前面这块空地，属于水岸御园2期，以后这里施工还有得吵，估计要吵1年以上，他们爱莫能助。泱泱大国，影响上万人夜间休息的夜间施工，噪音扰民，竟然多年得不到解决，同时还称未来一两年不能改善。是执法部门失职还是存在不正当关系勾结。不管有没有证，噪音都要达到国家标准，希望市政府引起正视，还大家一个宁静的夜晚。
					
					
				",0,0
188073,A909164,A3区麓泉社区单方面改变麓谷明珠小区6栋架空层使用性质,2019/3/11 11:40:42,"
					
					作为麓泉社区麓谷明珠小区6栋居民，我们近期感觉到很震惊也很伤心。购房、签合同、办产权时从来都没提及6栋架空层将改建为老年人活动中心或者有此规划。突然接到麓泉社区通知，社区单方面拟决定在我们6栋架空层改建活动中心，涉及到调整小区架空层规划及使用性质，涉及到违规改建，包括6栋选址，从来没有任何民意调查，更没有任何政府调规、改建的流程文件及批示，全权由麓泉社区单方面决定，一纸免章的公开信便要求我们6栋居民同意此无理要求，麓泉社区是否一手遮天？这样一张A4打印免章的公开信让我们不仅担忧是否真正出自社区，还是出自个人之手？为何要求改变架空层使用性质，却不能给出让我们信服的相关调规、报建、改建文件手续及流程呢，还请政府替我们6栋业主做主。
					
					
				",0,0
188074,A909092,A2区富绿新村房产的性质是什么？,2019/1/31 20:17:32,"
					
					〝二高一部""发出关于针对非法集资的打击的通知中是针对的金融犯罪方面，然而通知中说明的4点特征中""欺骗性强""""涉及群众多，损失巨大"":正是富绿新村的被欺骗的全体业主吗？西地省开关厂以单位名义向政府申请为职工建房，可是钱由该厂部分职工和对社会销售部分，政府批准土地划拨，个人全额集资的经济适用房，到如今老住户说是""诈骗房""，政府经济适用房的优惠没有享受，相反比单位福利分房的权利还少，经过十几年市场经济的轮换，新购房的住户缴纳了土地收益金，在政府房产大厅交易过户，全程与西地省开关厂没有半分关系，却入驻后什么权利都没有，手中的不动产权证不能保护好自己的物权，刚刚缴纳了土地收益金却连房屋土地没有，属于西地省开关厂，这就是当下发生在富绿新村1一6栋的房屋怪事，业主诉讼确认物权，百户产权证确认不到房产一寸共有面积权利，没有房产证的兴威却占用富绿新村小区南向通道和架空层全部面积，经营成一个菜市场，理由就是西地省开关厂与其签定有协议，西地省开关厂的理由就是他有土地使用证，多荒唐的事就是这样的发生，房屋改革这多年，老百姓辛苦买的房子，土地使用权明明己签定合同转让给业主了，然而因为湖开的土地使用证不能够注销，却以这样的方式剥夺房屋产权人的权益，这不是诈骗也是抢劫啊，这可比开发更赚钱，不出一分钱，以号召集资的方式向政府申请建经济适用房，建好后将架空层隔离开来多一层，该分给居户的杂屋不分，然后将架空层处分，将业主应该享受到的建筑面积中凡是公共共有的全部处分，对于业主就说是只有专有的住房权利，这样的欺骗，隐瞒都是以单位名义完成，无论业主如何投诉，相关部门和法院装糊涂共同糊弄，破坏房屋市场秩序。政策说三供一业移交，我们不禁想问省司法厅，市戒毒局，区政府？文件不是要求国家的财产要交给国家吗？那么我们小区公摊共有面积和架空层既然是西地省开关厂的，也就是国有资产，应该移交吧，那此次移交给了你们哪个部门啊？不要再放纵这样的犯罪了，难道这些不就是""二高一部""通知中破坏经济市场秩序，损害人民群众利益的行为吗？三年了，哪个部门又给了富绿新村业主一个依法依规的解释，只是越来越埙坏的建筑，元月十一号大火，不能及时救助也没有警醒这些贪婪的腐败分子，这是西地省A市的经济适用房呢？还是骗取人民群众财产的诈骗房？相关部门应该正面给予回答。
					
					
				",0,0
188119,A00035029,对A市地铁违规用工问题的质疑,2019/5/27 16:04:44,"
					
					我是一名在A市某地铁站上班的安检员，我是由中介公司介绍来上班的，安检员岗位分两个班次，一个班从早上六点上到下午三点，一个班从下午三点上到晚上十一点，一个班九个小时80-90元，各种保险福利没有就算了，还经常强制让我们加班，不加班还扣钱，扣身份证，一天二十四个小时上班就上了十八个小时，还不算上班路途的时间，加班完班第二天继续上早班的话，就只能睡三四个小时，最基本的睡眠都保证不了，同时还有许多未成年和我一样在地铁安检岗位上班，希望有关劳动监察部门能够解救我们。
					
					
				",0,0
188170,A88011323,A市6路公交车随意变道通行,2019/12/23 8:50:24,"
					
					12月21日下午17时52分许，6路公交车（司机座位旁边的汽车编号3283）在A3区大道金星路口由西往东辅道左拐通行时，该司机并未按地面车辆指示导向通行，不是在左拐车道排队等候依次通行，而是利用占用直行车道左拐进入金星路，不按交通指示箭头行驶。
					
					
				",0,0
188249,A00084085,A3区保利麓谷林语桐梓坡路与麓松路交汇处地铁凌晨2点施工扰民,2019/9/17 4:25:00,"
					
					保利麓谷林语桐梓坡路与麓松路交汇处地铁凌晨2点施工，噪音严重扰民，家里老人已经被折磨的不行，周边邻居也是苦不堪言，请相关部门协调，按照施工时间，凌晨一点还在施工，噪音严重影响周边居民生活。请相关部门处理。
					
					
				",0,0
